#  E_y	j_x	j_y	sigma_x	sigma_y	tau	n_opt	n_ac
0	-0.0111342	-0.0236325	0.105023	0.123161	0.376197	48.1583	35.0542
3	-0.00432647	0.0122001	0.0532904	0.0657249	0.447386	21.6667	19.9708
6	0.00355975	0.00628694	0.0543069	0.057336	0.43482	25.1417	22.725
9	-0.00883052	-0.0179135	0.108388	0.123474	0.356671	44.7542	32.825
12	-0.000111543	0.00794823	0.0273377	0.0329906	0.409766	29.6667	22.7875
15	-0.00371034	0.00290456	0.0381548	0.0472237	0.401504	26.5417	22.4792
18	-0.001669	0.0155829	0.0665522	0.0740037	0.367995	21.35	19.4375
21	-0.00442693	0.00745436	0.0706177	0.074427	0.367454	21.3625	19.3417
24	0.0024122	-0.0014143	0.0340796	0.034324	0.308856	28.5708	22.7208
27	-0.00136678	0.0137969	0.0523227	0.0568065	0.316993	18.9958	16.5833
30	0.00298771	-0.00374974	0.0409052	0.0452654	0.27947	29.6208	23.7083
